id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size
20240116190834,0,1,0,0,0,../GRE/data/covid,alex,2178843,2000000,16306528,1,77,334,637,3705,14840,45407,244585,490.562,1866,100,3.89826e+06,1,0,0,64,4000000
20240116191527,0,1,0,0,0,../GRE/data/covid,sali,2369592,2000000,382214592,1,43,246,778,2898,13281,27080,33057,426.792,1866,100,716230,1,0,0,64,4000000
20240116191531,0,1,0,0,0,../GRE/data/covid,sali,2074473,2000000,382214592,1,45,287,895,3414,15423,35724,36320,495.993,1866,100,1.01301e+06,1,0,0,64,4000000
20240116191534,0,1,0,0,0,../GRE/data/covid,sali,2266367,2000000,382214592,1,42,257,823,3171,13697,57918,119313,464.407,1866,100,1.87293e+06,1,0,0,64,4000000
20240117121444,1,0,0,0,0,../GRE/data/covid,alex,2434410,2000000,592992,1,21,56,415,1222,14996,40304,48903,218.724,1866,100,938363,1,0,0,64,4000000
20240117121741,1,0,0,0,0,../GRE/data/covid,alex,2624426,2000000,592992,1,25,55,379,1017,14177,47119,66028,194.42,1866,100,784271,1,0,0,64,4000000
20240117121837,1,0,0,0,0,../GRE/data/covid,alex,2872791,2000000,592992,1,21,51,337,913,11929,41331,71407,178.895,1866,100,743895,1,0,0,64,4000000
20240117121854,1,0,0,0,0,../GRE/data/covid,alex,2439098,2000000,592992,1,25,61,416,1173,14410,49796,64252,211.267,1866,100,828158,1,0,0,64,4000000
20240117121909,1,0,0,0,0,../GRE/data/covid,alex,2849827,2000000,592992,1,24,52,346,959,13262,37661,50273,182.497,1866,100,559204,1,0,0,64,4000000
20240117121922,1,0,0,0,0,../GRE/data/covid,alex,2725157,2000000,592992,1,27,49,358,971,11984,21483,22979,179.985,1866,100,353827,1,0,0,64,4000000
20240117121948,1,0,0,0,0,../GRE/data/covid,alex,2861381,2000000,592992,1,25,52,352,950,12590,18624,52670,178.759,1866,100,467502,1,0,0,64,4000000
20240117122000,1,0,0,0,0,../GRE/data/covid,alex,2665858,2000000,592992,1,23,56,363,1001,11713,77098,129951,193.228,1866,100,1.68592e+06,1,0,0,64,4000000
